recno,Astrom,PNG,OName,GaiaEDR3,Group,RA_ICRS,DE_ICRS,Dang,Gmag,BP-RP,AV,(BP-RP)0,_RA_icrs,_DE_icrs
1," ","PN G000.0-01.0 ",JaSt69,4057224264723323264,B,267.5416,-29.3183,0.4,19.65,3.17,3.22,1.86,267.5416,-29.3183
2," ","PN G000.0-02.5 ",K6-36,4056266379788466304,B,268.9702,-30.2613,0.83,19.45,1.91,2.62,0.72,268.9702,-30.2613
3," ","PN G000.0-02.9 ",MPAJ1757-3021,4056203849243193728,B,269.3093,-30.3645,2.52,18.42,1.85,3.57,0.11,269.3093,-30.3645
4," ","PN G000.0-06.8 ",H1-62,4045771305065496832,B,273.3248,-32.3286,0.19,14.36,0.77,0.95,0.28,273.3248,-32.3286
5," ","PN G000.1+02.6 ",Al2-J,4061303281130808448,B,263.8977,-27.4015,0.58,17.94,2.41,3.31,0.99,263.8977,-27.4015
6," ","PN G000.1+04.3 ",H1-16,4109679250049965312,A,262.3473,-26.4346,0.22,18.75,1.29,3.63,-0.57,262.3473,-26.4346
7," ","PN G000.1+17.2 ",PC12,4130784921205604736,B,250.9741,-18.9533,0.08,15.17,0.62,1.13,0.03,250.9741,-18.9533
8," ","PN G000.1-01.9 ",JaSt93,4056400558791818624,B,268.3492,-29.83,0.8,17.64,2.33,2.32,1.37,268.3492,-29.83
9," ","PN G000.1-05.6 ",H2-40,4049045783774253696,B,272.1281,-31.6098,0.58,18.46,1.44,1.38,0.81,272.1281,-31.6098
10," ","PN G000.1-08.0 ",SB1,4045583322840954496,A,274.7019,-32.7986,0.48,20.01,-0.17,0.45,-0.42,274.7019,-32.7986
11," ","PN G000.2-01.9 ",M2-19,4056495151130724224,B,268.4402,-29.7297,0.72,16.88,1.34,2.53,0.07,268.4402,-29.7297
12," ",PN G000.2-01.9a,JaSt2-14,4056495971440817408,B,268.4195,-29.7107,2.07,16.67,1.47,2.58,0.2,268.4195,-29.7107
13," ","PN G000.3+03.2 ",PHRJ1733-2655,4061390245613519232,A,263.4691,-26.9242,0.46,20.36,1.23,3.15,-0.39,263.4691,-26.9242
14," ","PN G000.3+04.5 ",PHRJ1729-2614,4109701927482024320,B,262.2806,-26.2455,1.31,20.69,2.13,3.44,0.56,262.2806,-26.2455
